state,epsilon,no_PT,PT_mean,PT_std,PT_sem,delta_F
0,0.0,1.0,1.0,4.600627734389895e-17,4.6006277343898955e-18,0.0
0,0.024999999999999998,0.9965714079886508,0.9986205793208037,0.0009350138743408522,9.350138743408522e-05,0.002049171332152877
0,0.049999999999999996,0.9863919878000235,0.9945042016669895,0.003714381234136147,0.0003714381234136147,0.008112213866966034
0,0.075,0.9697767824884223,0.9877160164770994,0.008261959826066019,0.0008261959826066018,0.01793923398867714
0,0.09999999999999999,0.9472376073790671,0.9783629412195951,0.01445374813511427,0.001445374813511427,0.031125333840527958
0,0.12499999999999999,0.9194637138974742,0.9665912129483536,0.022122125069344058,0.0022122125069344058,0.04712749905087943
0,0.15,0.8872957934546963,0.9525830567807406,0.031061563175025116,0.003106156317502512,0.06528726332604429
0,0.175,0.8516943444849363,0.9365525639263104,0.04103560452590913,0.0041035604525909136,0.08485821944137406
0,0.19999999999999998,0.8137036468814562,0.9187408932556923,0.051784844089522615,0.0051784844089522615,0.10503724637423606
0,0.22499999999999998,0.7744127597853663,0.8994109281763818,0.06303563208562671,0.0063035632085626705,0.12499816839101552
0,0.24999999999999997,0.7349150741377173,0.8788415342386316,0.07450918612345063,0.007450918612345063,0.14392646010091437
0,0.27499999999999997,0.696268006036156,0.8573215720338263,0.0859307966928548,0.008593079669285481,0.1610535659976703
0,0.3,0.6594544085943472,0.8351438243277327,0.09703881620717072,0.009703881620717072,0.17568941573338548
1,0.0,1.0,1.0,5.689568185369013e-17,5.6895681853690126e-18,0.0
1,0.024999999999999998,0.9965714079886508,0.9986205793208037,0.0009350138743408519,9.350138743408519e-05,0.002049171332152877
1,0.049999999999999996,0.9863919878000234,0.9945042016669895,0.003714381234136122,0.0003714381234136122,0.008112213866966145
1,0.075,0.9697767824884219,0.9877160164770994,0.008261959826065977,0.0008261959826065977,0.017939233988677472
1,0.09999999999999999,0.9472376073790671,0.9783629412195952,0.014453748135114275,0.0014453748135114274,0.03112533384052807
1,0.12499999999999999,0.9194637138974746,0.9665912129483536,0.02212212506934409,0.002212212506934409,0.047127499050878985
1,0.15,0.8872957934546967,0.9525830567807406,0.0310615631750251,0.00310615631750251,0.06528726332604395
1,0.175,0.8516943444849362,0.9365525639263104,0.041035604525909125,0.004103560452590913,0.08485821944137417
1,0.19999999999999998,0.8137036468814566,0.9187408932556922,0.051784844089522594,0.00517848440895226,0.10503724637423562
1,0.22499999999999998,0.7744127597853661,0.8994109281763818,0.06303563208562678,0.006303563208562677,0.12499816839101574
1,0.24999999999999997,0.7349150741377173,0.8788415342386316,0.07450918612345064,0.007450918612345064,0.14392646010091437
1,0.27499999999999997,0.696268006036156,0.8573215720338264,0.0859307966928548,0.008593079669285481,0.1610535659976704
1,0.3,0.6594544085943472,0.8351438243277329,0.09703881620717074,0.009703881620717074,0.1756894157333857
+,0.0,0.9999999999999998,0.9999999999999999,1.3202514415290593e-16,1.3202514415290594e-17,1.1102230246251565e-16
+,0.024999999999999998,1.0,1.0,0.0,0.0,0.0
+,0.049999999999999996,1.0,1.0,0.0,0.0,0.0
+,0.075,1.0,1.0,0.0,0.0,0.0
+,0.09999999999999999,1.0,1.0,4.734006883291518e-17,4.734006883291518e-18,0.0
