state,ZZ_error_degrees,ZZ_error_radians,no_PT,PT_mean,PT_std,PT_sem,delta_F
0,4.6,0.08028514559173916,0.9999999999999996,0.9999999999999997,1.3891798702657818e-16,1.3891798702657818e-17,1.1102230246251565e-16
1,4.6,0.08028514559173916,0.9999999999999996,0.9999999999999997,1.2819751242557092e-16,1.2819751242557092e-17,1.1102230246251565e-16
+,4.6,0.08028514559173916,0.9919782895914704,0.9949915299206971,0.003215919580410511,0.0003215919580410511,0.003013240329226674
+i,4.6,0.08028514559173916,0.9919782895914704,0.9949915299206971,0.0032159195804105064,0.00032159195804105066,0.003013240329226674
arbitrary,4.6,0.08028514559173916,0.9936287520268757,0.9960220198416436,0.0025542459232427233,0.00025542459232427234,0.0023932678147678965
